Tweet,Class
"RT @Ikhwanto_: @e100ss @PuspitaFM , 06.36; Lion Air SUBJKT JT571 jadwalnya 06.45 delay sampai 08.50 https://t.co/MzVCAltSKV",0
"@e100ss @PuspitaFM , 06.36; Lion Air SUBJKT JT571 jadwalnya 06.45 delay sampai 08.50 https://t.co/MzVCAltSKV",0
@PDAMSurabaya air di daerah manukan gak bisa lancar....sekalinya ngalir seperti ini... Cc: @e100ss https://t.co/Nwg3LU6vYm,0
"RT @mahrezaldy: Butuh pembangunan infrastuktur jalan Dan lampu  di area Stadion GBT,supporter Persebaya juga warga @e100ss",1
@e100ss min daerah siwalankerto tengah sby lampu padam dari tadi. Ada info? @pln_123 @infoPLN @infosurabaya,0
"RT @mahrezaldy: Butuh pembangunan infrastuktur jalan Dan lampu  di area Stadion GBT,supporter Persebaya juga warga @e100ss",0
@mahrezaldy @e100ss Sangat disayangkan stadion megah akses ruwet sumpeg kok gak sgr diadakan pembenahan nunggu2 terus kpn majunya,0
"RT @mahrezaldy: Butuh pembangunan infrastuktur jalan Dan lampu  di area Stadion GBT,supporter Persebaya juga warga @e100ss",1
"Butuh pembangunan infrastuktur jalan Dan lampu  di area Stadion GBT,supporter Persebaya juga warga @e100ss",1
@e100ss Air pdam daerah kaliwaron sdh 1 minggu ini airnya kog keruh ya.....knp moho infonya. Tks,0
"@andrewigor @e100ss Pengaspalan jalan mas, dibuat satu arah jalannya...",1
RT @irrestyo: Update 14:20. Macet 2 arah sekitar 3km daerah kraton pasuran karena pengaspalan jalan @e100ss,0
Update 14:20. Macet 2 arah sekitar 3km daerah kraton pasuran karena pengaspalan jalan @e100ss,0
@e100ss Jalur khusus sepeda Gowes bukan Sepeda Motor. Jika ada sepeda motor lewat berarti pelanggaran.,1
@e100ss @SapawargaSby Proyek box culvert di Jemursari kok lambat banget ya pengerjaannya. Tnp pengaman yg layak pula. Deadline kapan sih?,0
RT @endramawan: @e100ss ada forklift melintas di merr stikom https://t.co/z5iLhE13Of,0
@e100ss ada forklift melintas di merr stikom https://t.co/z5iLhE13Of,0
RT @tmf_86: Pdam di perumahan king safira residence msh kecil&amp; tdk bisa masuk ke dalam rumah 1 mingguan.sampai kapan sperti ini?@PDAMDeltaT…,0
Pdam di perumahan king safira residence msh kecil&amp; tdk bisa masuk ke dalam rumah 1 mingguan.sampai kapan sperti ini?@PDAMDeltaTirta @e100ss,0
"@e100ss kawasan Prapen,Tenggilis dsktnya krisis air PDAM mulai Rabu sampai skrg akibat pengerjaan box culvert Raya Prapen,backhoe kena pipa",0
"RT @e100ss: #SSInfo Pemerintah memutuskan harga BBM jenis minyak tanah dan solar tetap, sampai 31 Desember 2017. Dadan... https://t.co/nqDR…",1
"RT @e100ss: #SSInfo Pemerintah memutuskan harga BBM jenis minyak tanah dan solar tetap, sampai 31 Desember 2017. Dadan... https://t.co/nqDR…",1
"#SSInfo Pemerintah memutuskan harga BBM jenis minyak tanah dan solar tetap, sampai 31 Desember 2017. Dadan... https://t.co/nqDRdTUKsR",1
@e100ss Alhamdulillah... Listriknya baru saja menyala kembali,1
@e100ss Tolong d Info ke PLN Surabaya barat yg membawahi Pelayanan Desa Sarirogo dan Sukodono mati Lampu Sejak 1 Jam yg lalu.,0
RT @BudiVbm: @PDAMSurabaya @BanggaSurabaya @e100ss Air PDAM di Mulyosari Prima sudah seminggu mati. NoPel 2172596 NoHP 082217021983. Mohon…,0
@PDAMSurabaya @BanggaSurabaya @e100ss Air PDAM di Mulyosari Prima sudah seminggu mati. NoPel 2172596 NoHP 082217021983. Mohon respon PDAM.,0
"Mohon info utk mati lampu di daerah jelidro manukan sdh hampir 3jam,menyusahkan yg ada anak kecil,,hampir setiap hari begini @e100ss trmksh",0
"@pln_123 @e100ss listrik mati di daerah Surabaya Barat saat ini,mohon perhatiannya,ada kendala apa?",0
@e100ss  Sambikerep listrik padam jadi terganggu dech nonton suca 3 di @IndosiarID,0
"Mobil Listrik untuk Pemkot Surabaya Berjenis SUV
https://t.co/jAzbuEyN4c",1
"RT @mazzaen: @e100ss 
Pagi ini, melihat mobil keren IST, buang Sampah tissue, plastik https://t.co/gWJlH6gFa9",0
RT @AgungQowi: @e100ss situasi lalin di surabaya masih sangat membahayakan orang yang bersepeda. saya sudah beberpa kali mencoba ..,0
RT @AgungQowi: @e100ss situasi lalin di surabaya masih sangat membahayakan orang yang bersepeda. saya sudah beberpa kali mencoba ..,0
@e100ss situasi lalin di surabaya masih sangat membahayakan orang yang bersepeda. saya sudah beberpa kali mencoba ..,0
"@aditsub @e100ss Sama2..serem soalnya kl kesamber pecinta bahu jalan..
And keep update kl uda jalan biar ngga disus… https://t.co/7OOsrdAe9V",0
"@PDAMSurabaya @e100ss sudah seminggu air nyala tidak lancar, tany ID pelanggan &amp; no HP jg tidak dikontak, mulyosari prima mati trs pdam nya.",0
"@e100ss kabel listrik tersangkut &amp; putus, truk jalan terus. Lokasi KusBang depan GO. nopol L 8064 HI.. tindaklah… https://t.co/9S55v77cYj",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"@e100ss salah satu loket exit satelit belum dilengkapi mesin etoll, apa memang belum ikut elektronik besok ya? Saya kecele nih, hahaha",0
@e100ss air mati total 2 hari lalu di prapen jemur sari. Kpn ya dibenerinnya,0
@e100ss hingga saat ini pdam mati di perumahan king safira dan blm ada update perbaikan slesai kapan https://t.co/ILbrqFxkb7,0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
@e100ss indihome usee tv rumah saya udah 2 minggu gangguan silih berganti..karepmu Kom...SS sayang tidak ada nyali untuk kontak telkom..,0
RT @deteksi: Ini pasang kabel listrik kok nglewer rendah bgt ya. Lokasi hutan bambu keputih. Tolong dibetulkan dong. @SapawargaSby @e100ss…,0
RT @deteksi: Mohon dicek bangunan baru di timur Taman Harmoni Keputih ini. Nutup selokan lho. Kalo dibiarkan yg lain akan ikutan. @Sapawarg…,0
"@e100ss Tumben terbalik mikirnya, ditata dulu infrastrukturnya ibuu...heran...ada apa ya...?",0
"@deteksi @SapawargaSby @e100ss 2) no. ID Pelanggan &amp; no. telepon, boleh tahu kabel itu kabel dari tiang ke tiang at… https://t.co/fvAhegaXbe",0
"RT @RSHINFSCFS: @e100ss Selamat pagi, trm ksh kpd dns terkait krn marka jln utama krgploso sdh diperbaharui, smg sampai TL krglo demi keama…",1
@e100ss Sudah jalan...terima kasih,1
"@e100ss Selamat pagi, trm ksh kpd dns terkait krn marka jln utama krgploso sdh diperbaharui, smg sampai TL krglo demi keamanan bersama",1
"RT @rickyalv11: @e100ss,di daerah bronggalan setelah indomaret ada , genangan air kyaknya pipa PDAM bocor,pas di tngah ,agak sdkit merambat…",0
"RT @buonokeling: Park zone dpn TVRI. Tertulis ada 8 tpt , kenyataan lokasi penuh. Kata ptg Wildman,sensor  display dkt jalan,rusak. Cc @e10…",0
"Park zone dpn TVRI. Tertulis ada 8 tpt , kenyataan lokasi penuh. Kata ptg Wildman,sensor  display dkt jalan,rusak. Cc @e100ss @satpolppsby",0
Mohon dicek bangunan baru di timur Taman Harmoni Keputih ini. Nutup selokan lho. Kalo dibiarkan yg lain akan ikutan… https://t.co/WqwhQERPyo,0
Ini pasang kabel listrik kok nglewer rendah bgt ya. Lokasi hutan bambu keputih. Tolong dibetulkan dong.… https://t.co/nCf64lujxn,0
"@e100ss,di daerah bronggalan setelah indomaret ada , genangan air kyaknya pipa PDAM bocor,pas di tngah ,agak sdkit merambat,thx",0
"RT @hardana_didit: @e100ss info jalan licin ujun jalan upn, banyak sepeda motor jatuh. Mohon petugas yg berwenang. Jalan berlumpur.",0
@PDAMSurabaya @e100ss ingin melaporkan utk air di pondok bnowo indah rt 7 rw 8 ini sdah bebebrapa hari mati. Tlong bisa d bantu. Trima ksih,0
@e100ss simo hilir 1 Sukomanunggal hampir 2 jam listrik padam. Segera action dong @pln_123,0
"@e100ss air nyala bentar udah mampet lagi , sebulanan ini air keciil tp tagihan naik hahahah ajaib kan @PDAMDeltaTirta #kingsafira",0
@e100ss listrik mati sekitar manukan,0
RT @somat_saputro: @e100ss  di jln.kepala desa wage sebagian rumah listrik padam mulai setengah 3 tadi_mohon pecerahan,0
@e100ss  di jln.kepala desa wage sebagian rumah listrik padam mulai setengah 3 tadi_mohon pecerahan,0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
@e100ss daerah kutisari banyak sekali mobil parkir dibahu jalan dan disekitar belokan bikin susah masuk &amp; macet,0
"Jasa Raharja Salurkan Rp95 Juta untuk Pembangunan Masjid dan Gereja
https://t.co/u1QB4XOCKC",1
RT @roestamadjipoe1: @e100ss hati2 untuk pengguna tol waru juanda asap kebakaran di dpn Giant pondokcandra mengganggu jarak pandang. https:…,0
RT @alvin_hk: @e100ss perumahan kupang indah mati listrik dari jam 10. Ini ada apa. Terima kasih,0
@e100ss  alhamdulillah terima kasih Radio Suara Surabaya listrikx baru z nyala...,1
@e100ss perumahan kupang indah mati listrik dari jam 10. Ini ada apa. Terima kasih,0
"@ayue_augustina @e100ss KLO lampunya yg mati ya di ganti bohlamnya,KLO listrik yg padam Br Tyk ke PLN.hayo yg mn.beda arti lho...<ed><U+00A0><U+00BD><ed><U+00B8><U+0081>",0
"@e100ss blega macet +/-45 menit gak jalan,  perbaikan jembatan gak selesai2",0
"@e100ss pasrah akan laporan dgn telkom 147 terkait internet tdk bisa di pakai slama 1 thn n skrng tambah tlp tdk bsa, lebih pasrah n berdoa",0
"RT @setyawanroses: @e100ss Di RSUD Dr. Suwandhie perlu di pikirkan parkir mobil yg lebih baik, spy nggak parkir di jalanan blkg RS yg bikin…",1
"RT @setyawanroses: @e100ss Di RSUD Dr. Suwandhie perlu di pikirkan parkir mobil yg lebih baik, spy nggak parkir di jalanan blkg RS yg bikin…",1
RT @ayue_augustina: @e100ss minta tolong prigen mati lampu mulai semalem jam 18.30 sampai skr blm juga nyala kapan akan nyala? Mohon info,0
"@e100ss Di RSUD Dr. Suwandhie perlu di pikirkan parkir mobil yg lebih baik, spy nggak parkir di jalanan blkg RS yg bikin jalan sempi",1
@e100ss Kenapa TL margorejo banyak di keluhkan Orang karena terlalu cepat kembali ke merah tidak pernah di perbaiki ?,0
RT @ayue_augustina: @e100ss minta tolong prigen mati lampu mulai semalem jam 18.30 sampai skr blm juga nyala kapan akan nyala? Mohon info,0
RT @mujieb92: @e100ss TL pr4'an dinoyo k keputran kurang kliatan krna trtutup rimbunnya daun. https://t.co/WwuZvrJNog,0
@e100ss TL pr4'an dinoyo k keputran kurang kliatan krna trtutup rimbunnya daun. https://t.co/WwuZvrJNog,0
@e100ss minta tolong prigen mati lampu mulai semalem jam 18.30 sampai skr blm juga nyala kapan akan nyala? Mohon info,0
"RT @YonnathanIS: Contoh buruknya perencanaan dari proyek pemkot. Belum setahun, lampu jalan dibongkar, dimundurkan dan diberi box. @e100ss…",0
"@e100ss info dri jalan suramadu, ada kabel listrik menara sutet trn ke jln, menyebabkan jalan 2 arah tertutup https://t.co/ettNHtaI6p",0
@e100ss tolong dibantu d dpn pombensin kedung cowek suramadu ada kabel jatuh macet total.. pLN bs dibantu,0
@e100ss PDAM di prapen indah mati total sudah dari kemarin. Imbas dari galian box cuvlet di jl raya prapen... mati tidak ada pemberitahuan.,0
"@Telkomsel @e100ss Sudah 2 pekan lebih sinyal di Perak Utara gangguan, pelanggan mulai migrasi ke operator lain.",0
Giat olah Tkp kebakaran kabel di Km 2400 tol suramadu@e100ss https://t.co/9XLnPQJRF6,0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
RT @destianggraheni: @e100ss citraraya unesa macet hingga jl.mayjen yonosuwoyo(depan loop). Ada penutupan jalur (depan proyek) yg dari arah…,0
@e100ss citraraya unesa macet hingga jl.mayjen yonosuwoyo(depan loop). Ada penutupan jalur (depan proyek) yg dari arah citraland.,0
@AndroCholifudin @e100ss Klu gk mampu ya jgn lewat tol.gt aja kok repot,0
"RT @YonnathanIS: Contoh buruknya perencanaan dari proyek pemkot. Belum setahun, lampu jalan dibongkar, dimundurkan dan diberi box. @e100ss…",0
"@e100ss 2 hari berturut2 26s/d27-09-17 pkl 01.00s/d03.00 lampu padam, mohon PLN perhatiannya",0
"@e100ss listrik padam daerah kertanegara sawotratap...., balita rewel kepanasan.... sampe jam berapa pak PLN",0
RT @restikogandung: Semambung perumahan AURI apakah ada informasi pemadaman listrik @e100ss sudah 1 jam lebih. Terimakasih.,0
"Maksudnya apa sih @pln_123 semalam udah dua kali listrik mati,@e100ss @infosidoarjo1 daerah sawotratap gedangan",0
"PLN di rumah padam dr 2 jam yg lalu, udh 3x laporan ke @pln_123 tp blm ada tanda2 kunjungan teknisi. No lapor r0taikc cc: @e100ss , pls help",0
Semambung perumahan AURI apakah ada informasi pemadaman listrik @e100ss sudah 1 jam lebih. Terimakasih.,0
@e100ss  sebisa mungkin menghindari jalur arah jl.randegansari krn jalan diperbaiki,1
@SienFei @e100ss Untung tenggilis tidak mati listrik,1
"Daerah juanda gedangan listrik padam,  kenapa ya??  @pln_123 Dan @e100ss",0
@e100ss Siwalankerto dan sekitarnya listrik padam sudah sejam lebih.Ada apa ini @pln_123 ??,0
"@e100ss min wonorejo 4 no 28 kel. wonorejo kec. tegalsari se gang kok padam ya, pdhal gang sbelah nyala. Ni g ada hujan jg, Knp ya @pln_123",0
@e100ss kenapa siwalankerto mati lampu ya???? @e100ss @e100ss,0
"@e100ss @pln_123 tanpa ada pemberitahuan listrik mati daerah sawotratap,gedangan,sidoarjo sktr, padahal TDL udah naik beberapa kali",0
"@e100ss siwalankerto dan sekitar padam listrik ,kenapa kah? @pln_123",0
Daerah Kutisari indah barat Mati lampu sdh sejam lebih ada apa ya?mohon bantuannya @e100ss cc:@pln_123 @infoPLN,0
@e100ss siwalan kerto dan sekitarnya gelap lampu mati dadakan.. hujan pula... hati2 kawan,0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
@e100ss daerah siwalankerto listrik padam sudah sekitar satu jam. Mohon bantu ke PLN. Selamat malam.,0
"@e100ss bulak rukem timur 2k lampu padam 3 jam, tlg pln.....",0
"Hujan mulai turun, dan di kawasan graha tirta, makarya binangun, brigjen katamso seperti biasa listrik padam #pln @e100ss ada info knp?",0
@masyrifahjazm @e100ss Beli token listrik 100ribu.d meter cuma tertera 65.asuh dala,0
@e100ss ngingas waru hujan. Listrik padam. Hati2 lewat Brigjend Katamso.,0
"Enam Jam Terbakar, Gudang Elektronik Gea dan Getra Akhirnya Padam (odp-pr) https://t.co/N4xupVyuAv",0
Tetep harus hemat listrik :' https://t.co/nu9xlKYpYr,0
"Pemerintah Putuskan Tarif Listrik Tidak Naik
https://t.co/B8Z9dPCEDg",1
@e100ss @pln_123 @infoPLN  lampu di kutisari surabaya padam.kondisi hujan. Mohon bantuan penanganannya.,0
@e100ss Ada tiang listrik di apartment the square petra yg meledak yg menyebabkan 1 siwalankerto mati lampu.,0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
RT @rizkyems: @e100ss siwalankerto listrik mati (lagi) dan mulai hujan...,0
"RT @SienFei: Kutisari mati lampu, disusul gerimis @e100ss",0
"Kutisari mati lampu, disusul gerimis @e100ss",0
@e100ss siwalankerto listrik mati (lagi) dan mulai hujan...,0
RT @RG47442896: @e100ss daerah kutisari turun hujan &amp; PLN padam tolong pak PLN,0
@e100ss daerah kutisari turun hujan &amp; PLN padam tolong pak PLN,0
RT @msesolikan: @e100ss air pdam di tenngilis lama dari siang sampai malam ini mati .,0
@e100ss air pdam di tenngilis lama dari siang sampai malam ini mati .,0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
RT @jimmyjumara: aliran pdam daerah mulyosari prima hari ini mati total.. ada apa ya? berapa lama matinya?  @PDAMSurabaya @e100ss,0
aliran pdam daerah mulyosari prima hari ini mati total.. ada apa ya? berapa lama matinya?  @PDAMSurabaya @e100ss,0
"RT @Dewayangitu: @e100ss ...berwenang dalam tata ruang,,karena gagal mengelola sektor transportasi dan infrastruktur.",0
"@e100ss ...berwenang dalam tata ruang,,karena gagal mengelola sektor transportasi dan infrastruktur.",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @YonnathanIS: Contoh buruknya perencanaan dari proyek pemkot. Belum setahun, lampu jalan dibongkar, dimundurkan dan diberi box. @e100ss…",0
"Listrik padam di daerah Sambisari, sawunggaling, jemundo. Mohon infonya dari @e100ss dan @pln_123  terima kasih",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"@pln_123 , Dusun Kweni, Desa Anggaswangi, Kab. Sidoarjo, listrik mati ada apa ya..?
Cc : @e100ss",0
@e100ss info donk....ini PDAM daerah tenggilis lama mati. Apa ada info dr PDAM kl ada pemadaman air?,0
@e100ss Listrik di perum taman sumengko indah padam. Thanks,0
RT @69_naryo: @e100ss listrik padam di ry lebaniwaras km 32 wringinanom msk PLN Krian,0
@e100ss listrik padam di ry lebaniwaras km 32 wringinanom msk PLN Krian,0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
RT @fedoraahw @e100ss Toll Rungkut Menuju Djuanda @ElshintaSby #ElshintaNewsAndTalk @sonorasurabaya #SonoraNetWork… https://t.co/CqBCnvjRSH,1
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
"RT @BpbdSidoarjo: Kebakaran Industri (Gudang) PT. Royal Sultan Agung WadungAsri Waru Sda, 6 Unit Mobil PMK Sidoarjo Di Kerahkan cc @infosda…",0
RT @donowarkono: @e100ss kebakaran gudang didepan giant pondok candra https://t.co/zMDiIX53mm,0
RT @Royal_Heart86: @e100ss kebakaran di gudang GEA pondok candra.. hati2 yg lewat TOL asap hitam tebal https://t.co/mHyqwfXNwI,0
RT @e100ss: Foto kondisi kebakaran gudang elektronik di Pondok Chandra sore ini. Denza Perdana Reporter Suara Surabaya yang... https://t.co…,0
RT @e100ss: Foto kondisi kebakaran gudang elektronik di Pondok Chandra sore ini. Denza Perdana Reporter Suara Surabaya yang... https://t.co…,0
Foto kondisi kebakaran gudang elektronik di Pondok Chandra sore ini. Denza Perdana Reporter Suara Surabaya yang... https://t.co/9Dpk6emUTB,0
